Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S4PRRR1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;0;0;1;0;0;1;3;;0;1;1;0;0
S4PRRR1V1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;0;0;0;0;0;1;1;1;0;0;1;0;0;1;3;;0;0;0;0;0
S4PRRR2;P;0;0;pi/2;0;pi/2;q1;0;R;0;0;0;0;q2;0;0;R;0;0;0;a3;q3;0;0;R;0;0;0;a4;q4;0;0;0;0;0;1;1;1;0;1;0;0;0;1;3;;1;0;0;0;0
S4PRRR3;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;;0;0;1;0;0
S4PRRR3V1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;1;1;1;1;0;1;1;2;PRU;0;0;0;0;1
S4PRRR4;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;;0;0;1;0;0
S4PRRR4V1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;PUR;0;0;0;0;1
S4PRRR5;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4PRRR5V1;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;PRU;0;0;0;0;1
S4PRRR6;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4PRRR6V1;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;PUR;0;0;0;0;1
S4PRRR7;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4PRRR7V1;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;pi/2;0;q4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;PS;0;0;0;0;1
