Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S5PPPRR1;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;0;0;0
S5PPPRR1V1;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5PPPRR1V2;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;PPPU;0;0;0;0;1
S5PPPRR1V3;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;PPPU;0;0;0;0;1
S5PPPRR2;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;0;0;0
S5PPPRR2V1;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5PPPRR2V2;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5PPPRR2V3;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;PPPU;0;0;0;0;1
S5PPPRR2V4;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;PPPU;0;0;0;0;1
S5PPPRR2V5;P;0;0;0;0;theta1;q1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;PPPU;0;0;0;0;1
