Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S5RPPRR1;R;0;0;0;0;q1;d1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;0;0;0
S5RPPRR2;R;0;0;0;0;q1;d1;0;P;0;0;pi/2;a2;pi/2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;1;1;0
S5RPPRR3;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;1;1;0
S5RPPRR4;R;0;0;0;0;q1;d1;0;P;0;0;pi/2;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;1;0;0;0
S5RPPRR5;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5RPPRR5V1;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;pi/2;0;0;1;1;1;1;1;1;1;1;1;3;RPPU;0;0;0;0;1
S5RPPRR6;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5RPPRR6V1;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;RPPU;0;0;0;0;1
S5RPPRR7;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;;0;0;1;1;0
S5RPPRR7V1;R;0;0;0;0;q1;d1;0;P;0;0;0;a2;theta2;q2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;0;q5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;RPPU;0;0;0;0;1
