Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S5RRRRP1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;pi/2;0;0;1;1;1;1;1;1;1;1;0;5;;0;1;1;1;0
S5RRRRP1V1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;0;0;0;1;1;1;1;1;1;0;1;1;5;URRP;0;0;0;0;1
S5RRRRP2;R;pi/2;0;pi/2;0;q1;d1;-pi/2;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;pi/2;0;0;1;1;1;1;1;1;1;1;0;5;;0;1;1;1;0
S5RRRRP2V1;R;pi/2;0;pi/2;0;q1;d1;-pi/2;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;0;1;5;RURP;0;0;0;0;1
S5RRRRP3;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;0;5;;0;0;1;1;0
S5RRRRP3V1;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;P;0;0;pi/2;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;0;5;RRUP;0;0;0;0;1
S5RRRRP4;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;0;5;;0;0;1;1;0
S5RRRRP4V1;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;0;5;RURP;0;0;0;0;1
S5RRRRP6;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;0;1;1;0
S5RRRRP6V1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;P;0;0;0;a5;0;q5;0;0;0;0;1;1;1;1;1;1;1;1;1;5;UUP;0;0;0;0;1
