Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;Herkunft Struktursynthese;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Manuell;Roboter;3T0R-PKM;3T1R-PKM
S5RRRRR1;R;0;0;0;0;0;d1;0;R;0;0;-pi/2;a2;0;0;0;R;0;0;0;a3;0;0;0;R;0;0;0;a4;0;0;0;R;0;0;pi/2;a5;0;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;1;0;0;0
S5RRRRR2;R;0;0;0;0;0;0;0;R;0;0;0;a2;0;0;0;R;0;0;pi/2;0;0;0;0;R;0;0;0;a4;0;0;0;R;0;0;pi/2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;1;0;0;0
S5RRRRR3;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;0;a3;q3;0;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;0;a5;q5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;1;0;0;0
S5RRRRR4;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;0;1;1;4;0;1;1;1
S5RRRRR5;R;pi/2;0;pi/2;0;q1;d1;-pi/2;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;0;4;0;1;1;1
S5RRRRR6;R;pi/2;0;pi/2;0;q1;d1;-pi/2;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;pi/2;0;0;1;1;1;1;1;1;1;1;0;4;0;1;1;1
S5RRRRR7;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
S5RRRRR8;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
S5RRRRR9;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
S5RRRRR10;R;0;0;0;0;q1;d1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
S5RRRRR11;R;0;0;0;0;q1;d1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;0;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
S5RRRRR12;R;0;0;0;0;q1;d1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;R;0;0;pi/2;a5;q5;d5;0;0;0;0;1;1;1;1;1;1;1;1;1;4;0;0;1;1
