Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;Gelenk 6;;;;;;;;EE-FG (Basis-KS);;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;vx0;vy0;vz0;wx0;wy0;wz0
S6RRRPPR1;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;P;0;0;0;a4;theta4;0;0;P;0;0;pi/2;a5;theta5;0;0;R;0;0;0;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR2;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;P;0;0;0;a4;theta4;0;0;P;0;0;pi/2;a5;pi/2;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR3;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;P;0;0;pi/2;a4;0;0;0;P;0;0;pi/2;a5;pi/2;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR4;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;0;a4;theta4;0;0;P;0;0;pi/2;a5;0;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR5;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;0;a4;theta4;0;0;P;0;0;pi/2;a5;theta5;0;0;R;0;0;0;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR6;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;0;a4;theta4;0;0;P;0;0;pi/2;a5;pi/2;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR7;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;pi/2;a4;0;0;0;P;0;0;pi/2;a5;theta5;0;0;R;0;0;0;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR8;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;pi/2;a4;0;0;0;P;0;0;pi/2;a5;pi/2;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR9;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;pi/2;a4;theta4;0;0;P;0;0;pi/2;a5;0;0;0;R;0;0;pi/2;a6;0;d6;0;1;1;1;1;1;1
S6RRRPPR10;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;P;0;0;pi/2;a4;pi/2;0;0;P;0;0;pi/2;a5;theta5;0;0;R;0;0;0;a6;0;d6;0;1;1;1;1;1;1
