Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;Gelenk 6;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0
S6RRRRRP1;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP2;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP3;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP4;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;0;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP5;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP6;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP7;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP8;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP9;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP10;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP11;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;alpha3;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
S6RRRRRP12;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;R;0;0;alpha3;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;?;?;?;1;1;1;1;1;1;1;1;1
